Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
376,291,C300k_L700k_M700k_V0,300000,700000,700000,V0,0,360,30.00,2538754.87,1485475.59,216265.64,1752384.71,-112967.39,14.19%
377,670,C900k_L700k_M100k_V4,900000,700000,100000,V4,100000,24,2.00,1786992.48,49248.73,2948.94,1752675.70,-112676.40,5.96%
378,186,C200k_L200k_M1300k_V0,200000,200000,1300000,V0,0,360,30.00,2598388.33,1840446.62,299489.06,1752975.18,-112376.92,3.04%
379,630,C800k_L900k_M0k_V4,800000,900000,0,V4,100000,27,2.25,1795424.20,58379.06,0.00,1753316.28,-112035.82,5.96%
380,317,C300k_L1200k_M200k_V1,300000,1200000,200000,V1,5000,285,23.75,2286220.17,901522.58,55415.42,1753483.76,-111868.34,6.82%
381,675,C900k_L800k_M0k_V4,900000,800000,0,V4,100000,24,2.00,1787806.03,47113.33,0.00,1753580.56,-111771.54,5.96%
382,283,C300k_L500k_M900k_V2,300000,500000,900000,V2,15000,179,14.92,2167853.98,710790.66,135958.06,1753590.26,-111761.84,6.70%
383,277,C300k_L400k_M1000k_V1,300000,400000,1000000,V1,5000,291,24.25,2421115.98,1221307.30,228827.71,1754909.58,-110442.52,8.24%
384,313,C300k_L1100k_M300k_V2,300000,1100000,300000,V2,15000,177,14.75,2126377.53,587462.85,56252.76,1755682.72,-109669.38,6.40%
385,364,C400k_L600k_M700k_V3,400000,600000,700000,V3,40000,84,7.00,1936373.76,294670.72,56463.02,1755764.70,-109587.40,6.19%
386,359,C400k_L500k_M800k_V3,400000,500000,800000,V3,40000,84,7.00,1937403.88,299067.94,59830.12,1756058.30,-109293.80,6.19%
387,369,C400k_L700k_M600k_V3,400000,700000,600000,V3,40000,84,7.00,1936430.21,288666.78,50402.63,1757118.32,-108233.78,6.17%
388,374,C400k_L800k_M500k_V3,400000,800000,500000,V3,40000,84,7.00,1936083.47,281414.22,43496.81,1758544.45,-106807.65,6.15%
389,354,C400k_L400k_M900k_V3,400000,400000,900000,V3,40000,81,6.75,1940586.34,301616.47,59656.14,1759023.20,-106328.90,6.17%
390,318,C300k_L1200k_M200k_V2,300000,1200000,200000,V2,15000,174,14.50,2123861.16,563417.30,37850.95,1759850.50,-105501.61,6.32%
391,379,C400k_L900k_M400k_V3,400000,900000,400000,V3,40000,84,7.00,1936379.94,274311.81,36097.93,1760233.82,-105118.28,6.13%
392,349,C400k_L300k_M1000k_V3,400000,300000,1000000,V3,40000,81,6.75,1941583.28,302044.35,59087.08,1760954.95,-104397.15,6.15%
393,334,C400k_L0k_M1300k_V3,400000,0,1300000,V3,40000,75,6.25,1931369.88,287030.88,54998.36,1761495.53,-103856.57,6.10%
